SignId,Id,X,Y,Z,Retro,angle,distance,UTC
2,40972,33.7872562,-84.4056239,244.656,0.75,-0.18865,8.183,66091.109
2,40973,33.7872563,-84.4056240,244.568,0.75,-0.19892,8.213,66091.109
2,40974,33.7872562,-84.4056241,244.481,0.71,-0.20920,8.232,66091.109
2,41030,33.7872563,-84.4056248,245.336,0.74,-0.10656,8.046,66091.122
2,41031,33.7872563,-84.4056249,245.251,0.74,-0.11683,8.064,66091.122
2,41032,33.7872563,-84.4056247,245.171,0.74,-0.12710,8.055,66091.122
2,41033,33.7872562,-84.4056248,245.087,0.75,-0.13738,8.067,66091.122
2,41034,33.7872562,-84.4056246,245.006,0.74,-0.14765,8.064,66091.122
2,41035,33.7872561,-84.4056245,244.924,0.74,-0.15792,8.065,66091.122
2,41036,33.7872560,-84.4056244,244.841,0.75,-0.16819,8.072,66091.122
2,41037,33.7872560,-84.4056244,244.757,0.75,-0.17847,8.087,66091.122
2,41038,33.7872559,-84.4056243,244.676,0.74,-0.18874,8.085,66091.122
2,41039,33.7872559,-84.4056241,244.594,0.74,-0.19902,8.089,66091.122
2,41040,33.7872558,-84.4056239,244.513,0.74,-0.20929,8.085,66091.122
2,41092,33.7872560,-84.4056250,245.350,0.75,-0.10655,7.932,66091.135
2,41093,33.7872559,-84.4056250,245.268,0.74,-0.11682,7.938,66091.135
2,41094,33.7872559,-84.4056249,245.187,0.74,-0.12710,7.939,66091.135
2,41095,33.7872558,-84.4056247,245.108,0.75,-0.13737,7.932,66091.135
2,41096,33.7872557,-84.4056247,245.026,0.74,-0.14764,7.938,66091.135
2,41097,33.7872557,-84.4056246,244.945,0.74,-0.15792,7.942,66091.135
2,41098,33.7872556,-84.4056245,244.865,0.75,-0.16819,7.941,66091.135
2,41099,33.7872556,-84.4056245,244.783,0.74,-0.17846,7.954,66091.135
2,41100,33.7872555,-84.4056243,244.704,0.74,-0.18873,7.949,66091.135
2,41101,33.7872554,-84.4056241,244.624,0.74,-0.19901,7.949,66091.135
2,41102,33.7872554,-84.4056241,244.541,0.75,-0.20928,7.966,66091.135
2,41159,33.7872556,-84.4056252,245.365,0.75,-0.10645,7.812,66091.148
2,41160,33.7872555,-84.4056250,245.287,0.74,-0.11672,7.803,66091.148
2,41161,33.7872554,-84.4056249,245.208,0.74,-0.12699,7.799,66091.148
2,41162,33.7872554,-84.4056248,245.129,0.74,-0.13726,7.803,66091.148
2,41163,33.7872552,-84.4056246,245.052,0.74,-0.14753,7.790,66091.148
2,41164,33.7872552,-84.4056244,244.973,0.74,-0.15781,7.789,66091.149
2,41165,33.7872551,-84.4056244,244.892,0.75,-0.16808,7.801,66091.149
2,41166,33.7872551,-84.4056243,244.812,0.75,-0.17835,7.806,66091.149
2,41167,33.7872550,-84.4056243,244.732,0.74,-0.18863,7.814,66091.149
2,41168,33.7872550,-84.4056242,244.651,0.74,-0.19890,7.827,66091.149
2,41169,33.7872549,-84.4056241,244.572,0.74,-0.20917,7.827,66091.149
2,41170,33.7872549,-84.4056240,244.493,0.73,-0.21945,7.834,66091.149
2,41227,33.7872551,-84.4056250,245.383,0.74,-0.10654,7.663,66091.162
2,41228,33.7872550,-84.4056250,245.304,0.74,-0.11681,7.673,66091.162
2,41229,33.7872550,-84.4056250,245.225,0.75,-0.12709,7.675,66091.162
2,41230,33.7872549,-84.4056248,245.149,0.71,-0.13736,7.666,66091.162
2,41231,33.7872548,-84.4056246,245.071,0.74,-0.14763,7.664,66091.162
2,41232,33.7872548,-84.4056246,244.993,0.74,-0.15790,7.667,66091.162
2,41233,33.7872547,-84.4056245,244.915,0.74,-0.16817,7.673,66091.162
