SignId,Id,X,Y,Z,Retro,UTC,R,G,B,H,S,B,pX,pY,
2,680060,33.7739879,-84.4018760,306.947,0.72,64556.50014,-1,-1,-1,-1.0,-1.000,-1.000,0.624,0.115,
2,680061,33.7739878,-84.4018760,306.880,0.75,64556.50018,-1,-1,-1,-1.0,-1.000,-1.000,0.615,0.180,
2,680062,33.7739877,-84.4018759,306.812,0.75,64556.50021,-1,-1,-1,-1.0,-1.000,-1.000,0.613,0.247,
2,680063,33.7739878,-84.4018760,306.744,0.76,64556.50024,-1,-1,-1,-1.0,-1.000,-1.000,0.615,0.313,
2,680064,33.7739878,-84.4018761,306.676,0.76,64556.50027,-1,-1,-1,-1.0,-1.000,-1.000,0.609,0.380,
2,680065,33.7739878,-84.4018760,306.609,0.76,64556.50031,-1,-1,-1,-1.0,-1.000,-1.000,0.615,0.445,
2,680066,33.7739878,-84.4018761,306.541,0.76,64556.50034,-1,-1,-1,-1.0,-1.000,-1.000,0.609,0.511,
2,680067,33.7739877,-84.4018761,306.473,0.77,64556.50037,-1,-1,-1,-1.0,-1.000,-1.000,0.601,0.578,
2,680068,33.7739877,-84.4018760,306.406,0.76,64556.50041,-1,-1,-1,-1.0,-1.000,-1.000,0.607,0.643,
2,680069,33.7739878,-84.4018761,306.337,0.76,64556.50044,-1,-1,-1,-1.0,-1.000,-1.000,0.609,0.710,
2,680070,33.7739877,-84.4018761,306.269,0.76,64556.50047,-1,-1,-1,-1.0,-1.000,-1.000,0.601,0.777,
2,680071,33.7739878,-84.4018762,306.200,0.72,64556.50050,-1,-1,-1,-1.0,-1.000,-1.000,0.603,0.844,
2,680193,33.7739876,-84.4018763,306.945,0.71,64556.51345,-1,-1,-1,-1.0,-1.000,-1.000,0.580,0.117,
2,680205,33.7739876,-84.4018765,306.143,0.67,64556.51385,-1,-1,-1,-1.0,-1.000,-1.000,0.568,0.900,
2,680325,33.7739873,-84.4018766,307.008,0.72,64556.52673,-1,-1,-1,-1.0,-1.000,-1.000,0.536,0.056,
2,680326,33.7739873,-84.4018765,306.943,0.76,64556.52677,-1,-1,-1,-1.0,-1.000,-1.000,0.543,0.119,
2,680328,33.7739874,-84.4018767,306.812,0.76,64556.52683,-1,-1,-1,-1.0,-1.000,-1.000,0.539,0.247,
2,680329,33.7739873,-84.4018766,306.747,0.76,64556.52686,-1,-1,-1,-1.0,-1.000,-1.000,0.536,0.310,
2,680331,33.7739874,-84.4018767,306.616,0.72,64556.52693,-1,-1,-1,-1.0,-1.000,-1.000,0.539,0.438,
2,680332,33.7739872,-84.4018766,306.551,0.76,64556.52696,-1,-1,-1,-1.0,-1.000,-1.000,0.528,0.501,
2,680333,33.7739873,-84.4018767,306.485,0.74,64556.52699,-1,-1,-1,-1.0,-1.000,-1.000,0.530,0.566,
2,680335,33.7739873,-84.4018768,306.354,0.73,64556.52706,-1,-1,-1,-1.0,-1.000,-1.000,0.524,0.694,
2,680336,33.7739874,-84.4018769,306.287,0.73,64556.52709,-1,-1,-1,-1.0,-1.000,-1.000,0.527,0.759,
2,680338,33.7739872,-84.4018767,306.158,0.76,64556.52716,-1,-1,-1,-1.0,-1.000,-1.000,0.522,0.885,
2,680339,33.7739872,-84.4018768,306.091,0.68,64556.52719,-1,-1,-1,-1.0,-1.000,-1.000,0.516,0.950,
2,680458,33.7739871,-84.4018769,307.006,0.74,64556.54004,-1,-1,-1,-1.0,-1.000,-1.000,0.501,0.058,
2,680459,33.7739870,-84.4018768,306.941,0.76,64556.54008,-1,-1,-1,-1.0,-1.000,-1.000,0.499,0.121,
2,680461,33.7739870,-84.4018768,306.813,0.75,64556.54014,-1,-1,-1,-1.0,-1.000,-1.000,0.499,0.246,
2,680462,33.7739870,-84.4018768,306.750,0.76,64556.54018,-1,-1,-1,-1.0,-1.000,-1.000,0.499,0.307,
2,680463,33.7739870,-84.4018769,306.686,0.74,64556.54021,-1,-1,-1,-1.0,-1.000,-1.000,0.493,0.370,
2,680464,33.7739870,-84.4018769,306.621,0.76,64556.54024,-1,-1,-1,-1.0,-1.000,-1.000,0.493,0.433,
2,680465,33.7739871,-84.4018770,306.556,0.77,64556.54027,-1,-1,-1,-1.0,-1.000,-1.000,0.495,0.497,
2,680466,33.7739871,-84.4018770,306.492,0.76,64556.54031,-1,-1,-1,-1.0,-1.000,-1.000,0.495,0.559,
