Id,X,Y,Z,Angle,Distance,Retro,UTC,x_cart,y_cart,z_cart,sign_id
27998000,-84.321704596,33.676025164,261.6727,0.09919,44.437,0.7879999999999999,72671.54752000001,-13292.463181468343,-6719.694960326697,-44.23593700348192,3980
27998096,-84.32170388899999,33.676024247,261.6424,0.09909,44.097,0.792,72671.56083,-13292.564878631285,-6719.629434167763,-44.205493179330915,3980
27998193,-84.321703266,33.676023319,261.6174,0.09909,43.765,0.792,72671.57415,-13292.667801526259,-6719.571704415491,-44.180338595652756,3980
27998290,-84.321702583,33.676022399000004,261.5962,0.09919,43.428000000000004,0.792,72671.58746,-13292.769848915881,-6719.508413773023,-44.15899170359717,3980
27998387,-84.321701925,33.676021471999995,261.5671,0.09909,43.093,0.7879999999999999,72671.60078,-13292.872654596995,-6719.447433803227,-44.12974077123272,3980
27998485,-84.321701228,33.676020543,261.5514,0.09909,42.765,0.8,72671.61409,-13292.975712689115,-6719.382851318426,-44.11389313661584,3980
27998583,-84.321700326,33.676019640999996,261.5383,0.09919,42.418,0.8,72671.6274,-13293.075794729459,-6719.2992582268835,-44.100671737558514,3980
27998681,-84.321699636,33.676018707,261.5183,0.09909,42.09,0.7959999999999999,72671.64072000001,-13293.179397972843,-6719.235320768572,-44.0805222665158,3980
27998780,-84.32169875,33.676017798000004,261.501,0.09909,41.744,0.8,72671.65404,-13293.280246626062,-6719.15320760285,-44.063097690038376,3980
27516876,-84.30891044,33.685066672,251.3772,0.047619999999999996,30.816,0.784,72605.78644,-12290.31153906952,-5532.605365482325,-37.09641077386914,3996
27516954,-84.30890962699999,33.685065801,251.3747,0.04772,30.484,0.773,72605.79976000001,-12290.408189982001,-5532.530031309417,-37.09378913594628,3996
27517033,-84.308908952,33.68506488,251.3695,0.047619999999999996,30.166,0.773,72605.81307999999,-12290.510374303007,-5532.46749445427,-37.08844570092242,3996
27517113,-84.308907918,33.685064063,251.3669,0.047619999999999996,29.813000000000002,0.78,72605.82639,-12290.601047163169,-5532.371663862346,-37.08575337750517,3996
27517193,-84.308907007,33.685063209,251.3673,0.04772,29.471999999999998,0.784,72605.83971,-12290.695823288916,-5532.287243773815,-37.08604323761392,3996
27517272,-84.308906167,33.685062334,251.3618,0.047619999999999996,29.138,0.7759999999999999,72605.85302000001,-12290.792913529152,-5532.2094035990185,-37.080422905506566,3996
27517352,-84.308905175,33.685061503,251.359,0.047619999999999996,28.789,0.773,72605.86634,-12290.885136636844,-5532.1174682976725,-37.07752420198631,3996
27517432,-84.30890456899999,33.685060559,251.3597,0.04772,28.478,0.7759999999999999,72605.87966,-12290.98987983922,-5532.061336246612,-37.07807026948558,3996
26453948,-84.282430151,33.697727089000004,249.2983,0.058,26.384,0.424,72487.28562000001,-10887.108267422916,-3076.690398174075,-39.231929894590394,3998
26454054,-84.282429191,33.697725927,249.2742,0.0579,25.986,0.718,72487.29892999999,-10887.237145153065,-3076.601422216304,-39.20765195414697,3998
26004741,-84.26691058899999,33.699136273,261.3735,0.08884,17.15,0.745,72427.01006,-10731.175518553515,-1637.780798548086,-52.10358139735126,4007
25683417,-84.254937457,33.700133458,261.4643,0.0888,43.504,0.38,72380.56847,-10620.692391652214,-527.7096053614245,-52.56821678811866,4020
25683418,-84.254937763,33.700133249000004,261.0172,0.0785,43.528,0.431,72380.56851,-10620.714825489613,-527.737939538777,-52.12107632905645,4020
25683543,-84.254937431,33.700132371,261.4523,0.0888,43.217,0.769,72380.58179,-10620.812943282184,-527.707200504577,-52.55601550919164,4020
25683544,-84.25493751100001,33.700132194,261.008,0.0785,43.22,0.773,72380.58182,-10620.831833465405,-527.7145818219778,-52.11168270965209,4020
25683669,-84.254936944,33.700131344,261.4437,0.0889,42.887,0.7879999999999999,72380.5951,-10620.926847672574,-527.662055355801,-52.54722887643129,4020
25683670,-84.25493681100001,33.700131197,261.0024,0.0786,42.87,0.792,72380.59513,-10620.942416309803,-527.6496890988458,-52.10590326199599,4020
25683796,-84.254936378,33.700130396,261.4207,0.0888,42.543,0.784,72380.60841,-10621.031965611444,-527.6095842904574,-52.52405750875914,4020
25683797,-84.254936364,33.700130233,260.9831,0.0785,42.537,0.7879999999999999,72380.60845,-10621.049314556909,-527.6082511605694,-52.086428012113174,4020
25683923,-84.254935979,33.700129467,261.3992,0.0888,42.211000000000006,0.784,72380.62172000001,-10621.13497769557,-527.5725961266743,-52.502388381649325,4020
25684050,-84.254935336,33.700128569,261.3814,0.0889,41.856,0.7879999999999999,72380.63504,-10621.234558647571,-527.5129863644565,-52.48442686165254,4020
25684177,-84.254934884,33.700127641,261.3556,0.08879,41.52,0.7879999999999999,72380.64835,-10621.337452892301,-527.471084103866,-52.458458328664165,4020
25684304,-84.254934283,33.70012673,261.3337,0.08879,41.168,0.7759999999999999,72380.66167,-10621.438468753511,-527.4153679825442,-52.43639407704359,4020
25684431,-84.254933988,33.700125779000004,261.3166,0.0889,40.846,0.7759999999999999,72380.67498,-10621.543927924102,-527.3880223570403,-52.41912006043367,4020
25684559,-84.254933384,33.700124863,261.2906,0.08879,40.495,0.765,72380.68828999999,-10621.645491554833,-527.3320277892494,-52.392954909235414,4020
25684687,-84.25493291800001,33.700123928000004,261.269,0.08879,40.158,0.7759999999999999,72380.7016,-10621.749169335477,-527.2888279507479,-52.37118517044928,4020
25684814,-84.254932325,33.700123006999995,261.2512,0.08889,39.806999999999995,0.769,72380.71492,-10621.851301219722,-527.2338539205425,-52.35321899144492,4020
25684940,-84.254931731,33.700122082,261.2253,0.08879,39.458,0.757,72380.72823,-10621.953863253293,-527.1787865338076,-52.327152086678325,4020
25519700,-84.251796741,33.702624817,270.4301,0.04763,45.50899999999999,0.373,72363.56576,-10344.373566920807,-236.52123093923075,-62.007214241708425,4026
25519804,-84.251795897,33.702624028,270.4277,0.04773,45.211999999999996,0.769,72363.57907,-10344.461082094256,-236.44298628008005,-62.00467469110663,4026
25519908,-84.251794697,33.70262344,270.4159,0.04763,44.875,0.784,72363.59238,-10344.526287541672,-236.33173617745774,-61.99277266212721,4026
25520012,-84.251793483,33.702622875,270.4084,0.04763,44.532,0.78,72363.60569,-10344.588948822813,-236.21918823937574,-61.98517482285479,4026
25520116,-84.25179236,33.70262228,270.4053,0.04773,44.193000000000005,0.7879999999999999,72363.619,-10344.654944703034,-236.11507709833114,-61.98197124865874,4026
25520221,-84.251791138,33.702621739,270.3932,0.04763,43.843,0.792,72363.63231,-10344.714936392054,-236.0017872459066,-61.969777772616,4026
25520326,-84.25178982899999,33.702621246999996,270.3856,0.04763,43.483000000000004,0.784,72363.64563,-10344.769500447397,-235.8804317057763,-61.96209343198461,4026
25520431,-84.251788679,33.702620667,270.3825,0.04773,43.141000000000005,0.784,72363.65894,-10344.833832560034,-235.7738173678813,-61.95889265090136,4026
25520536,-84.251787546,33.702620074,270.3709,0.04763,42.801,0.773,72363.67225,-10344.89959277989,-235.66877880914308,-61.94718947477395,4026
25520641,-84.251786324,33.702619533000004,270.3635,0.04763,42.451,0.7759999999999999,72363.68556,-10344.959592114083,-235.55548912480032,-61.93969598153126,4026
25520745,-84.251785076,33.702619008,270.3605,0.04773,42.098,0.773,72363.69887000001,-10345.017823922295,-235.43978911529683,-61.936605457724,4026
25520849,-84.251783853,33.702618466,270.349,0.047619999999999996,41.748000000000005,0.78,72363.71218,-10345.077927504375,-235.32640657256707,-61.92501178840848,4026
25520953,-84.251782846,33.702617801,270.3421,0.04763,41.422,0.784,72363.7255,-10345.151681434685,-235.23304976256458,-61.9179951646056,4026
25521058,-84.25178149899999,33.702617331999996,270.339,0.04773,41.058,0.7879999999999999,72363.73881,-10345.203701694703,-235.10817136053686,-61.91481508191191,4026
