query_lat,query_lon,query_alt,index,lidar_lat,lidar_long,lidar_alt,retro,count,x_cart,y_cart,z_cart
33.8369315,-84.2490125,326.1505001,106718,33.836850664,-84.24911727,334.5577,0.7759999999999999,1789,4544.391853444673,11.87250006799106,-132.93299951794495
33.8369315,-84.2490125,326.1505001,106719,33.836850487,-84.24911735399999,334.3612,0.773,1789,4544.372079162424,11.864724194227074,-132.73651362220318
33.8369315,-84.2490125,326.1505001,106720,33.836850592,-84.249117133,334.1465,0.792,1789,4544.383572822125,11.88518083861672,-132.52180531008668
33.8369315,-84.2490125,326.1505001,106721,33.83685048,-84.24911715,333.9493,0.7879999999999999,1789,4544.371008189826,11.883606867086641,-132.32461424711354
33.8369315,-84.2490125,326.1505001,106722,33.83685023,-84.249117315,333.7628,0.8,1789,4544.343143508875,11.868333185713285,-132.13813415116456
33.8369315,-84.2490125,326.1505001,106723,33.836850124,-84.249117326,333.5682,0.792,1789,4544.331246288553,11.86731461408671,-131.94354261058726
33.8369315,-84.2490125,326.1505001,106724,33.836849983,-84.249117375,333.3772,0.792,1789,4544.315469256546,11.862778551657184,-131.752553852095
33.8369315,-84.2490125,326.1505001,106725,33.836849833,-84.249117434,333.1882,0.792,1789,4544.298695326825,11.857316835150696,-131.5635658060709
33.8369315,-84.2490125,326.1505001,106726,33.836849717,-84.249117458,332.9985,0.816,1789,4544.285692359651,11.855094918724548,-131.37387505974382
33.8369315,-84.2490125,326.1505001,106727,33.836849566,-84.24911752,332.8122,0.784,1789,4544.268809435811,11.849355510180251,-131.18758709402135
33.8369315,-84.2490125,326.1505001,106728,33.836849491,-84.249117501,332.6227,0.7959999999999999,1789,4544.260354552715,11.851113919875502,-130.99809308842458
33.8369315,-84.2490125,326.1505001,106729,33.8368494,-84.249117499,332.4355,0.7959999999999999,1789,4544.250126509272,11.85129871756868,-130.81090035193125
33.8369315,-84.2490125,326.1505001,106730,33.836849292,-84.249117517,332.2505,0.7959999999999999,1789,4544.23801430747,11.849632203345612,-130.6259089683123
33.8369315,-84.2490125,326.1505001,106731,33.836849166,-84.249117554,332.0674,0.8270000000000001,1789,4544.223906809,11.846206944300313,-130.44281901537437
33.8369315,-84.2490125,326.1505001,106732,33.836849144,-84.249117481,331.8804,0.816,1789,4544.221332757433,11.852963907172684,-130.2558207956953
33.8369315,-84.2490125,326.1505001,106733,33.836848982,-84.24911755699999,331.7012,0.835,1789,4544.203234736253,11.84592859369414,-130.0766337034605
33.8369315,-84.2490125,326.1505001,106734,33.836848925,-84.249117524,331.5182,0.8390000000000001,1789,4544.196781159069,11.848982933447333,-129.89363826543243
33.8369315,-84.2490125,326.1505001,106735,33.836848744,-84.24911762100001,331.3416,0.753,1789,4544.1765774183295,11.840003743523493,-129.71705268232972
33.8369315,-84.2490125,326.1505001,106736,33.836850837,-84.24911640100001,335.6805,0.7609999999999999,1789,4544.411846452005,11.952941896804429,-134.0557853591035
33.8369315,-84.2490125,326.1505001,106737,33.836850696,-84.249116441,335.4722,0.7759999999999999,1789,4544.396057043585,11.949238891578307,-133.84749660285644
33.8369315,-84.2490125,326.1505001,106738,33.836850579,-84.249116457,335.264,0.7609999999999999,1789,4544.382929916015,11.94775746419862,-133.63930593994752
33.8369315,-84.2490125,326.1505001,106739,33.836850526999996,-84.249116403,335.0529,0.765,1789,4544.377010866306,11.952755633771554,-133.42821010733752
33.8369315,-84.2490125,326.1505001,106740,33.836850451,-84.249116376,334.8458,0.773,1789,4544.368432466959,11.95525453638239,-133.22111618491468
33.8369315,-84.2490125,326.1505001,106741,33.836850315999996,-84.249116414,334.6455,0.7759999999999999,1789,4544.35331433381,11.951736677035411,-133.0208269494461
33.8369315,-84.2490125,326.1505001,106742,33.836850221,-84.249116409,334.4441,0.773,1789,4544.342632429388,11.952199142272383,-132.81943453513782
33.8369315,-84.2490125,326.1505001,106743,33.836850084,-84.249116452,334.2476,0.78,1789,4544.327295164687,11.948218461476703,-132.62294546057305
33.8369315,-84.2490125,326.1505001,106744,33.836850045,-84.249116388,334.0458,0.7759999999999999,1789,4544.32282479664,11.954142304184613,-132.4211485936569
33.8369315,-84.2490125,326.1505001,106745,33.836850001,-84.249116332,333.8465,0.8,1789,4544.31780158909,11.9593256261533,-132.22185212352215
33.8369315,-84.2490125,326.1505001,106746,33.836849881999996,-84.249116358,333.6541,0.7959999999999999,1789,4544.304463913257,11.956918570485682,-132.02946161504764
33.8369315,-84.2490125,326.1505001,106747,33.836849759,-84.249116389,333.4634,0.784,1789,4544.290683752503,11.954048688476528,-131.838771424614
33.8369315,-84.2490125,326.1505001,106748,33.836849527,-84.24911653699999,333.281,0.792,1789,4544.264818662537,11.940348631117962,-131.65638989829012
